Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.2748	Where were you born?	0.9042
2	DCB_se1_ag1_m_02	1.6830	Here. Um, Southeast Washington DC.	4.2522
3	DCB_int_01	6.4613	What neighborhood	7.1560
4	DCB_int_01	7.1560	(pause 0.65)	7.8089
5	DCB_int_01	7.8089	do you claim?	8.5456
6	DCB_se1_ag1_m_02	9.1331	Uh I was actually	10.6346
7	DCB_se1_ag1_m_02	10.6346	(pause 0.14)	10.7791
8	DCB_se1_ag1_m_02	10.7791	born and raised in	11.9029
9	DCB_se1_ag1_m_02	11.9029	(pause 0.49)	12.3913
10	DCB_se1_ag1_m_02	12.3913	A Street	13.0628
11	DCB_se1_ag1_m_02	13.0628	(pause 0.34)	13.4032
12	DCB_se1_ag1_m_02	13.4032	off of Alabama Avenue.	14.8906
13	DCB_int_01	21.8838	Have you lived anywhere else?	22.9283
14	DCB_se1_ag1_m_02	23.9204	Um,	24.5452
15	DCB_se1_ag1_m_02	24.5452	(pause 0.84)	25.3845
16	DCB_se1_ag1_m_02	25.3845	yeah maybe like, eight blocks	27.1751
17	DCB_se1_ag1_m_02	27.1751	(pause 0.16)	27.3383
18	DCB_se1_ag1_m_02	27.3383	down	27.8139
19	DCB_se1_ag1_m_02	27.8139	(pause 0.24)	28.0564
20	DCB_se1_ag1_m_02	28.0564	um,	28.5180
21	DCB_se1_ag1_m_02	28.5180	(pause 0.58)	29.1009
22	DCB_se1_ag1_m_02	29.1009	in /Park Lane/.	29.9775
23	DCB_int_01	33.5994	But no- But you've always lived in the city?	35.2303
24	DCB_se1_ag1_m_02	35.2070	Yes, [always] on this side.	36.8623
25	DCB_int_01	35.7245	[Mm.]	35.9530
26	DCB_int_01	40.0517	Um, do you- and you just graduated	41.6744
27	DCB_int_01	41.6744	(pause 0.28)	41.9530
28	DCB_int_01	41.9530	[from high] school? Where'd you graduate from?	43.4078
29	DCB_se1_ag1_m_02	42.0090	[Yes.]	42.5032
30	DCB_se1_ag1_m_02	43.7296	/RD-SCHOOL-7/ High School.	45.6880
31	DCB_int_01	48.5965	Where'd you go to middle school?	49.6083
32	DCB_se1_ag1_m_02	50.0746	/RD-SCHOOL-2/.	50.8813
33	DCB_se1_ag1_m_02	50.8813	(pause 0.59)	51.4688
34	DCB_se1_ag1_m_02	51.4688	/Yes./	52.3268
35	DCB_int_01	55.8368	Um, do you currently work?	57.4782
36	DCB_se1_ag1_m_02	57.9678	Yes.	58.4620
37	DCB_int_01	58.3595	What do you do?	58.8164
38	DCB_se1_ag1_m_02	59.1930	I have a internship at the Department of Energy.	61.6690
39	DCB_int_01	66.0463	What do you do there?	66.5359
40	DCB_se1_ag1_m_02	67.0908	Photography.	67.8555
41	DCB_se1_ag1_m_02	67.8555	(pause 0.16)	68.0140
42	DCB_se1_ag1_m_02	68.0140	It's a photography internship.	69.7300
43	DCB_se1_ag1_m_02	69.7300	(pause 0.79)	70.5180
44	DCB_se1_ag1_m_02	70.5180	[So] I'm taking passport pictures	73.1840
45	DCB_int_01	70.5273	[Really?]	71.0263
46	DCB_se1_ag1_m_02	73.6783	and working on, um,	75.0947
47	DCB_se1_ag1_m_02	75.0947	(pause 0.16)	75.2593
48	DCB_se1_ag1_m_02	75.2593	Photoshop Six.	76.5460
49	DCB_se1_ag1_m_02	76.5460	(pause 0.62)	77.1615
50	DCB_se1_ag1_m_02	77.1615	So,	77.5858
51	DCB_se1_ag1_m_02	77.5858	(pause 0.27)	77.8598
52	DCB_se1_ag1_m_02	77.8598	basically getting comfortable,	79.0022
