Line	Spkr	StTime	Content	EnTime
1	LES_int_01	0.7500	So, okay. So, it is, what is the date? October sixteenth.	4.0427
2	LES_se0_ag2_f_02	4.4099	Two thousand and [eight.]	5.5075
3	LES_int_01	5.3538	[Two] thousand and eight.	6.1177
4	LES_int_01	6.2626	And we are talking to. Now, tell me your whole name, [/RD-NAME-3/]	8.8836
5	LES_se0_ag2_f_02	8.7431	[My] whole name? [<laugh>]	10.3061
6	LES_int_01	9.6519	[Yeah.]	9.8758
7	LES_int_01	10.3061	Cause you got a long one.	11.1589
8	LES_se0_ag2_f_02	11.1589	Yes I [do.]	11.9025
9	LES_int_01	11.5820	[<laugh>]	12.3635
10	LES_se0_ag2_f_02	12.3722	it's /RD-NAME-9/	14.4664
11	LES_se0_ag2_f_02	14.4664	(pause 0.16)	14.6245
12	LES_se0_ag2_f_02	14.6245	[/RD-NAME-1/.]	15.0827
13	LES_int_01	14.6245	[Okay.]	15.0827
14	LES_int_01	15.6561	[/RD-NAME-1/]	16.4775
15	LES_se0_ag2_f_02	16.0293	[<laugh>]	16.9996
16	LES_int_01	17.4035	Awesome.	17.9363
17	LES_se0_ag2_f_02	18.0373	Yeah.	18.3095
18	LES_int_01	18.9329	So, um, I normally ask people to kind of start at the beginning.	21.6582
19	LES_int_01	21.6582	(pause 0.09)	21.7504
20	LES_int_01	21.7504	So, can you tell me, for instance, when and where you were born?	24.6383
21	LES_se0_ag2_f_02	25.2222	Well,	25.9247
22	LES_se0_ag2_f_02	25.9247	(pause 0.23)	26.1574
23	LES_se0_ag2_f_02	26.1574	I was born in Bellevue Hospital.	27.7554
24	LES_int_01	27.8696	Okay.	28.3203
25	LES_se0_ag2_f_02	28.4607	February eighteenth, nineteen seventy-nine.	30.9808
26	LES_int_01	30.9808	Okay.	31.3100
27	LES_se0_ag2_f_02	31.5252	I believe it was a Thursday.	32.8554
28	LES_se0_ag2_f_02	32.8554	(pause 0.17)	33.0266
29	LES_se0_ag2_f_02	33.0266	I'm just lying, I don't know.	34.4432
30	LES_se0_ag2_f_02	34.4432	(pause 0.32)	34.7593
31	LES_se0_ag2_f_02	34.7593	[I know though.]	35.6373
32	LES_int_01	34.9393	[It was a- it was a beautiful day, sunny day.]	37.2266
33	LES_se0_ag2_f_02	35.9842	[<laugh> I- No, actually,] it was a snow storm.	38.4515
34	LES_int_01	38.5933	[Okay.]0	38.9720
35	LES_se0_ag2_f_02	38.6855	[A very] bad blizzard, [and that it snowed] three feet, and [it was-]	41.4447
36	LES_int_01	39.7585	[Oh.]	40.2985
37	LES_int_01	40.2985	(pause 0.82)	41.1151
38	LES_int_01	41.1151	[Oh] wow.	41.9289
39	LES_se0_ag2_f_02	41.9289	it was hard because my mom couldn't get a ambulance	44.7396
40	LES_se0_ag2_f_02	45.1918	to get her, so she had to get in the cab.	47.0648
41	LES_int_01	47.3721	Oh [man.]	48.2414
42	LES_se0_ag2_f_02	48.0043	[She thought] I was gonna be a cab baby.	49.6232
43	LES_se0_ag2_f_02	49.7835	Like, thank God I wasn't.	50.7207
44	LES_int_01	50.7854	Like you were gonna be born in the cab.	52.2144
45	LES_int_01	52.2144	(pause 0.67)	52.8861
46	LES_int_01	52.8861	They made it to the hospital	54.0479
47	LES_se0_ag2_f_02	54.1241	Yeah, we made it to the hospital, so <sigh> and then there was me.	56.6529
48	LES_int_01	56.8022	Okay.	57.2369
49	LES_se0_ag2_f_02	57.5310	And um.	58.2422
50	LES_se0_ag2_f_02	58.2422	(pause 0.23)	58.4749
51	LES_se0_ag2_f_02	58.4749	I was born and raised in Baruch Projects, /RD-ADDRESS-8/	62.8816
52	LES_se0_ag2_f_02	62.8816	(pause 0.52)	63.4031
53	LES_se0_ag2_f_02	63.4031	Then we moved to [/RD-ADDRESS-8/.]	66.1177
54	LES_int_01	66.0567	[Yeah.]	66.2214
55	LES_int_01	66.7666	[I might need to /check/] with this just a little bit if that's okay.	68.9193
56	LES_se0_ag2_f_02	66.8105	[and um.]	67.2451
57	LES_se0_ag2_f_02	67.2451	(pause 0.25)	67.4998
58	LES_se0_ag2_f_02	67.4998	Mm-hm.	67.9300
59	LES_se0_ag2_f_02	69.2699	No problem.	69.9474
60	LES_int_01	69.9474	That's better.	70.5106
61	LES_se0_ag2_f_02	71.0851	And um.	71.4802
62	LES_int_01	71.9983	So, tell me a little bit about your family. You already mentioned, [but your-]	75.4578
63	LES_se0_ag2_f_02	74.5578	[A little bit] about my family. Well, my grandmother moved down [here]	77.7612
64	LES_int_01	77.5768	[She's from North [Carolina?]	78.7710
65	LES_se0_ag2_f_02	78.6524	[She's] from North Carolina originally. She moved up to	81.0934
66	LES_se0_ag2_f_02	81.2208	Harlem	81.7564
67	LES_se0_ag2_f_02	81.7564	(pause 0.43)	82.1866
68	LES_se0_ag2_f_02	82.1866	when she was seventeen.	83.2913
69	LES_se0_ag2_f_02	83.2913	(pause 0.77)	84.0596
70	LES_se0_ag2_f_02	84.0596	She got married, had her kids and she decided she wanted to leave Harlem.	87.3238
71	LES_int_01	87.3150	Mm-hm.	87.6311
72	LES_se0_ag2_f_02	87.7847	And she moved down here to Lower East Side. When she first got down here, it was two buildings.	91.5955
73	LES_se0_ag2_f_02	91.5955	(pause 0.15)	91.7448
74	LES_se0_ag2_f_02	91.7448	And there was marshland.	92.8401
75	LES_int_01	92.9667	This is Baruch, was two buildings?	94.7009
76	LES_se0_ag2_f_02	93.8667	[This is Baru-] Baruch was two buildings.	96.4614
77	LES_int_01	96.6853	[That's amazing.]	97.3642
78	LES_se0_ag2_f_02	96.7847	[And she told me] that the um	97.9657
79	LES_se0_ag2_f_02	98.9530	the demographics of the area were actually	100.8628
80	LES_se0_ag2_f_02	100.8628	(pause 0.36)	101.2213
81	LES_se0_ag2_f_02	101.2213	Jewish, Chinese, and Italian.	103.2144
82	LES_int_01	103.8730	[Okay.]	104.1276
83	LES_se0_ag2_f_02	104.0047	[Very] little Latinos and very few blacks.	106.3579
84	LES_int_01	106.6081	Mm-hm.	106.8715
85	LES_se0_ag2_f_02	107.3062	So.	107.6530
86	LES_se0_ag2_f_02	107.6530	(pause 0.61)	108.2676
87	LES_se0_ag2_f_02	108.2676	And she said a funny joke. I don't know if this is racist or not, but I wanna share it.	111.5246
88	LES_int_01	111.5861	[<laugh>]	112.4993
89	LES_se0_ag2_f_02	112.2315	[She said] before the Chinese moved in, there was a lot cats.	114.6637
90	LES_int_01	114.9447	[<laugh>]	115.9188
91	LES_se0_ag2_f_02	115.1818	[And after they] came in, there were no more cats. (laughing)	118.2368
92	LES_se0_ag2_f_02	118.8163	So, then all of a sudden, there were a bunch of Chinese restaurants. So, you know, she always tells me	122.2744
93	LES_se0_ag2_f_02	122.2744	(pause 0.13)	122.4017
94	LES_se0_ag2_f_02	122.4017	don't eat at no [Chinese food restaurants.]	124.0480
95	LES_int_01	123.1000	[Oh no.]	124.2462
96	LES_int_01	124.3525	[<laugh>]	125.0103
97	LES_se0_ag2_f_02	124.5661	That's just my little funny joke to share with- from my grandma.	127.0791
98	LES_int_01	126.1898	[That's a good- That's] a good one. [<laugh>]	128.0387
99	LES_se0_ag2_f_02	127.9174	[But] my grandma had um	129.2464
100	LES_se0_ag2_f_02	129.3862	seven children.	130.2782
101	LES_int_01	130.2782	Oh, wow.	130.9031
102	LES_se0_ag2_f_02	130.9917	So. It w- it was a crew of them. And back in those days, when they were growing up, they moved here	134.8405
103	LES_se0_ag2_f_02	134.8405	(pause 0.13)	134.9664
104	LES_se0_ag2_f_02	134.9664	for real. I'm like	135.6938
105	LES_se0_ag2_f_02	135.6938	(pause 0.18)	135.8757
106	LES_se0_ag2_f_02	135.8757	as teenagers.	136.9004
107	LES_int_01	137.1428	Right.	137.3433
108	LES_se0_ag2_f_02	137.3060	Preteens, teenagers.	138.3645
109	LES_se0_ag2_f_02	138.7982	And at that time,	139.6235
110	LES_se0_ag2_f_02	139.6235	(pause 0.68)	140.2996
111	LES_se0_ag2_f_02	140.2996	Grand Street was still around, but they had a lot of	142.1974
112	LES_se0_ag2_f_02	142.1974	(pause 0.18)	142.3746
113	LES_se0_ag2_f_02	142.3746	like	142.6171
114	LES_se0_ag2_f_02	142.6171	(pause 0.55)	143.1708
115	LES_se0_ag2_f_02	143.1708	community events happening. Um. There's	144.7562
116	LES_se0_ag2_f_02	144.7562	(pause 0.27)	145.0220
117	LES_se0_ag2_f_02	145.0220	actually, in Baruch, it's something called The White House has been shut down forever, since I've ever known.	149.5784
118	LES_int_01	149.7370	Oh. I've seen it. It's a beautiful	151.3410
119	LES_se0_ag2_f_02	152.0566	[It used to] be a pool. It used to be after school prog- it used to be a center. Community center.	155.6470
120	LES_int_01	152.0566	[building.]	152.4623
121	LES_se0_ag2_f_02	156.2299	Pool,	157.0133
122	LES_se0_ag2_f_02	157.0133	(pause 0.15)	157.1671
123	LES_se0_ag2_f_02	157.1671	recreation,	157.9027
124	LES_se0_ag2_f_02	157.9027	(pause 0.44)	158.3410
125	LES_se0_ag2_f_02	158.3410	um,	159.0871
126	LES_se0_ag2_f_02	159.0871	(pause 0.37)	159.4555
127	LES_se0_ag2_f_02	159.4555	dance studios, [all of that.]	161.1061
128	LES_int_01	160.5885	[That's a shame.]	161.2880
129	LES_se0_ag2_f_02	161.9548	And they closed it down. So, whatever.	163.6288
